"pat" "th"
2602 17
1961 4
2249 3
2027 2
2187 4
1954 1
1533 1
974 2
1260 6
815 2
1201 2
1125 5
747 2
975 4
1480 2
1713 5
1786 58
2009 316
2277 200
2149 48
2292 204
2005 350
2551 126
2207 68
2131 280
2121 270
1683 135
1494 22
1077 0
1590 97
1487 210
1368 93
1293 1
1429 42
1146 25
1346 41
1760 8
1435 3
1413 24
1197 47
1382 12
1626 5
2619 13
2666 6
2426 13
1909 1
1667 1
1014 7
1002 2
449 1
286 2
342 20
692 10
962 4
817 0
287 9
468 5
967 8
778 38
365 5
541 20
540 0
129 3
402 0
552 0
456 7
415 11
528 16
454 0
198 0
439 12
395 2
437 2
592 6
1055 7
1096 0
1272 6
1235 6
1109 2
1274 11
727 8
448 11
156 13
607 30
645 10
1016 6
999 1
1361 0
1023 2
1199 15
640 2
348 0
484 0
306 0
242 0
95 0
208 0
304 0
748 0
605 0
436 0
294 0
689 0
557 0
420 0
455 3
617 0
1008 0
1158 7
781 0
493 0
377 0
474 0
808 0
1116 0
931 0
816 0
914 0
881 0
838 0
663 0
694 2
315 0
556 8
933 0
1421 6
1439 0
1389 0
1398 0
1172 0
1110 18
1387 13
1896 14
3312 13
3940 14
3164 16
2125 0
1262 0
766 0
893 4
494 0
813 4
989 0
1074 4
1341 7
2350 38
3305 71
3412 17
2924 4
1759 0
1056 17
851 70
838 83
1042 189
831 59
907 110
1005 749
821 788
1145 603
1048 21
1364 186
1348 271
884 126
429 47
585 220
697 208
568 166
647 103
614 70
350 188
278 285
354 712
425 1534
468 2196
492 2415
331 2163
178 1703
83 1823
417 2090
455 2108
25 1142
458 1092
407 1319
305 1428
206 1090
752 1291
971 1344
1867 1445
1942 1552
1662 1714
1130 1820
2012 1456
2379 1170
2168 776
2577 721
2443 579
1499 469
1495 756
2208 618
1373 454
1954 445
989 358
1447 477
1120 289
851 51
700 14
1405 73
1366 94
1552 71
1578 11
1434 71
1030 205
664 340
742 774
630 1030
380 1328
331 1537
